parameter,symbol,unit,name
"symbol","","","Chemical symbol"
"Z","Z","","Atomic number"
"mass","m","Da","Atomic mass"
"gamma","\Gamma","2\pi \times kHz","Natural line width"
"lambda","\lambda","nm","Resonant wavelength"
"J_gnd","J_gnd","","Total angular momentum of the ground state"
"J_exc","J_exc""","Total angular momentum of the excited state"
"g_gnd","g_gnd","","Lande factor of the ground state"
"g_exc","g_exc","","Lande factor of the excited state"
"B_0","\nabla B_{axial}","G/cm","Axial magnetic field gradient"
"B_axial","\mathbf{B}_{axial}","","Axial magnetic field direction"
"B_bias","\mathbf{B}_{bias}","G","Bias magnetic field"
"B_lin_grad","\nabla B","G/cm","Linear magnetic field gradient"
"T_0","T_0","mK","Initial temperature of the atomic cloud"
"v_0","v_0","m/s","Module of the initial velocity of the atoms"
"g_bool","","","Gravity activation"
"recording_time","t_{r}","ms","Recording time"
"max_r","r_{max}","mm","Maximum distance (threshold)"
"max_v","v_{max}","m/s","Maximum speed"
"num_sim","N","","Number of atoms"
"num_bins","N_{bins}","","Number of histogram bins"
"wait_time","t_{wait}","ms","Time to reach the equilibrium"
"dt","\delta t","\mu s","Maximum time interval"
"parallel_tasks","","","Number of parallel processors"
"delta","\Delta","\Gamma","Laser detuning"
"s_0","s_0","","Saturation parameter"
"w","w","mm","Waist"
"k_dir","\hat{\mathbf{k}}","","Beam wave vector direction"
"pol_amp","|\epsilon|^2","","Polarization amplitudes"
"num","","n","Number of sidebands"
"freq","","kHz","Resonant frequency of the sidebands"
