,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,6577
3,0,0,0,0,0,53028
4,0,0,0,0,0,251226
5,0,0,0,0,0,874774
6,0,0,0,0,0,1952416
7,0,0,0,0,0,3510677
8,0,0,0,0,0,4835332
9,0,0,0,0,0,5189209
10,0,0,0,0,0,4928685
11,0,0,0,0,0,4271607
12,0,0,0,0,0,3154040
13,0,0,0,0,0,2188953
14,0,0,0,0,0,1301989
15,0,0,0,0,0,785985
16,0,0,0,0,0,433583
17,0,0,0,0,0,240970
18,0,0,0,0,0,109177
19,0,0,0,0,0,55942
20,0,0,0,0,0,29651
21,0,0,0,0,0,12354
22,0,0,0,0,0,3852
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,163,0
44,14,0,15,0,3397,0
45,208,0,98,1144,3634,0
46,640,0,474,1069,8974,0
47,815,46,382,1333,20043,0
48,2194,374,654,4772,32277,0
49,6397,903,2311,27945,63943,0
50,13931,3420,5972,46294,82733,0
51,29511,10447,12064,101992,124167,0
52,61658,26437,30401,179739,223010,0
53,119605,63358,70255,302606,339542,0
54,217211,128795,143206,453217,501087,0
55,369396,260597,273119,638317,663171,0
56,603601,448925,476045,918466,977937,0
57,930227,769147,785090,1208451,1256516,0
58,1361496,1227322,1179782,1502996,1526250,0
59,1834929,1744596,1711641,1846524,1894500,0
60,2326998,2350343,2270289,2063133,2134674,0
61,2793513,2939051,2864030,2367265,2363092,0
62,3139602,3423102,3339313,2514285,2430259,0
63,3291689,3701563,3658440,2641014,2637575,0
64,3283291,3715667,3724672,2682672,2675955,0
65,3105829,3443528,3479595,2532314,2489193,0
66,2780877,2959596,3043134,2370169,2358260,0
67,2331013,2345645,2460236,2160170,2109980,0
68,1844575,1747394,1790822,1875375,1799992,0
69,1360960,1196128,1211265,1573016,1409617,0
70,951754,749727,780531,1281447,1136086,0
71,608843,451923,441439,951502,882169,0
72,372964,244270,233814,700952,646701,0
73,225044,125709,114945,517371,488522,0
74,120659,62752,52820,339928,334684,0
75,60075,30002,21136,185786,219643,0
76,25153,11773,9052,100209,145489,0
77,8340,5047,2688,46580,87668,0
78,3226,1982,297,30913,59266,0
79,1701,333,0,14676,26492,0
80,1569,90,0,5269,13178,0
81,493,35,0,1116,8565,0
82,26,0,0,0,6577,0
83,0,0,0,0,5046,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
