,vx,vy,vz,x,y,z
0,7,4,18,0,0,0
1,110,26,37,0,0,0
2,89,19,76,0,0,0
3,48,191,103,0,0,0
4,276,144,161,0,0,0
5,284,215,198,0,0,0
6,304,129,220,0,0,0
7,291,211,248,0,0,0
8,320,209,268,0,0,0
9,432,239,296,0,0,0
10,331,254,323,0,0,0
11,414,254,383,0,0,0
12,450,209,426,0,0,0
13,612,222,457,0,0,0
14,590,380,495,0,0,0
15,709,471,590,0,0,0
16,677,386,603,0,0,0
17,911,524,641,0,0,0
18,891,506,723,0,0,0
19,892,729,753,0,0,0
20,1206,736,749,0,0,0
21,1075,652,873,0,0,0
22,1140,723,1015,0,0,0
23,1274,795,1034,0,0,0
24,1528,881,1086,0,0,0
25,1537,990,1262,0,0,0
26,1641,1097,1325,0,0,0
27,1624,1183,1353,0,0,0
28,1586,1088,1360,0,0,0
29,1633,1387,1445,0,0,0
30,2211,1234,1512,0,0,0
31,2323,1435,1627,0,0,0
32,2269,1459,1622,0,0,0
33,2239,1647,1685,0,0,0
34,2242,1655,1782,0,0,0
35,2589,1811,1890,0,0,0
36,2847,1713,2078,0,0,0
37,2733,2143,2029,0,0,0
38,2535,2071,2174,0,0,0
39,2939,2139,2360,0,0,0
40,3314,2174,2410,0,0,0
41,3213,2511,2483,0,0,0
42,3195,2303,2754,0,0,0
43,3849,2613,2837,0,0,0
44,3497,2611,3025,0,0,0
45,3652,2854,3111,0,0,0
46,4207,2776,3224,0,0,0
47,4499,2973,3295,0,0,0
48,4530,2955,3482,0,0,0
49,4546,3389,3770,0,0,0
50,4664,3565,4023,0,0,0
51,4965,3726,4135,0,0,0
52,5490,4363,4196,0,0,0
53,6027,4053,4387,0,0,0
54,5821,4195,4568,0,0,0
55,6203,4430,4785,0,0,0
56,6215,4248,5106,0,0,0
57,6261,4326,5251,0,0,0
58,6746,4905,5386,0,0,0
59,6209,4711,5518,0,0,0
60,7184,5162,5928,0,0,0
61,7386,5415,6305,0,0,0
62,7883,5790,6538,0,0,0
63,7943,6258,6875,0,0,0
64,7960,5866,6996,0,0,0
65,7891,6213,7264,0,0,0
