,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,422
119,0,0,0,0,0,503
120,0,0,0,0,0,956
121,0,0,6,0,0,1336
122,0,0,5,0,0,5171
123,0,0,0,0,0,14707
124,0,0,0,0,0,30374
125,0,0,2,0,0,58452
126,0,0,12,0,0,97852
127,0,0,10,0,0,150540
128,0,0,30,0,0,216100
129,0,0,24,0,0,310286
130,0,0,20,0,0,403731
131,0,0,24,0,0,505012
132,0,0,27,0,0,626128
133,0,0,27,0,0,729726
134,0,0,10,0,0,855005
135,0,0,8,0,0,912660
136,0,0,5,0,0,981426
137,0,0,1,0,0,1003690
138,0,0,12,0,0,1009505
139,0,0,17,0,0,982795
140,0,0,10,0,0,944514
141,0,0,5,0,0,898060
142,0,0,8,0,0,811363
143,21,0,6,0,0,745754
144,0,0,1,0,0,676073
145,0,0,2,0,0,580116
146,0,0,5,0,0,493791
147,138,0,13,0,0,424058
148,17,0,26,0,0,364547
149,18,0,29,0,0,303016
150,16,21,28,0,0,256358
151,76,0,29,0,0,212438
152,82,20,38,0,0,177417
153,104,56,34,0,0,139132
154,80,27,58,0,0,112798
155,98,39,62,0,0,87670
156,155,45,63,0,0,67130
157,234,63,86,0,0,56599
158,131,26,79,0,0,47680
159,301,75,81,0,0,34193
160,160,130,129,0,0,27333
161,198,83,162,0,0,19881
162,336,243,194,0,0,14924
163,437,338,240,0,0,10795
164,320,166,259,0,0,8854
165,387,210,292,0,0,5673
166,588,309,353,0,0,3287
167,628,557,352,0,0,2513
168,604,459,410,0,0,2646
169,953,710,538,0,0,919
170,1101,844,658,0,0,1022
171,1457,1039,805,0,0,1294
172,1304,970,856,0,0,540
173,1752,1199,894,0,0,321
174,2041,1377,1126,0,0,190
175,2144,1330,1268,0,0,0
176,2683,2038,1433,0,0,0
177,2970,2506,1683,0,0,0
178,3093,2000,1966,0,0,0
179,3647,2529,2202,0,0,0
180,3862,2810,2435,0,0,0
181,4802,2756,2617,0,0,0
182,5485,3244,2861,0,0,0
183,6172,3713,3074,0,0,0
184,6353,4380,3464,0,0,0
185,6772,4148,4163,0,0,0
186,8053,5144,4625,0,0,0
187,8386,5815,4924,0,0,0
188,9606,7059,5323,0,0,0
189,10166,6467,6387,0,0,0
190,11404,6674,7139,0,0,0
191,12802,8530,8241,0,0,0
192,13885,9026,9211,0,0,0
193,14148,10214,10426,0,0,0
194,16097,10963,11258,0,0,0
195,18520,12826,12185,0,0,0
196,19224,14283,13786,0,0,0
197,20931,15981,15334,0,284,0
