,vx,vy,vz,x,y,z
0,0,0,0,0,0,672
1,0,0,0,0,0,2665
2,0,0,0,0,0,3806
3,0,0,0,0,0,6226
4,0,0,19,0,0,7803
5,0,0,17,0,0,9373
6,0,2,4,0,0,12106
7,0,8,4,0,0,13639
8,0,1,7,0,0,14686
9,0,27,8,0,0,16316
10,0,15,10,0,0,17435
11,0,6,19,0,0,18393
12,0,16,5,0,0,19350
13,0,11,14,0,0,21559
14,0,3,22,0,0,21335
15,0,10,30,0,0,22797
16,1,17,26,0,0,23739
17,0,32,17,0,0,22807
18,3,30,23,0,0,25250
19,10,45,29,0,0,26373
20,11,41,18,0,0,26983
21,27,46,15,0,0,29367
22,6,66,21,0,0,27569
23,20,92,13,0,0,29049
24,13,52,21,0,0,31083
25,18,51,26,0,0,34447
26,53,75,27,0,0,36522
27,22,49,28,0,0,38723
28,47,37,54,0,0,39241
29,29,21,69,0,0,43379
30,47,74,73,0,0,42220
31,31,34,60,0,0,42278
32,31,19,77,0,0,43498
33,45,43,116,0,0,46247
34,32,38,77,0,0,46308
35,68,43,101,0,0,49262
36,75,65,84,0,0,49466
37,76,46,114,0,0,49518
38,81,66,88,0,0,50169
39,115,33,136,0,0,52607
40,126,45,173,0,0,54337
41,151,66,127,0,0,57110
42,130,56,177,0,0,57752
43,124,63,174,0,0,59476
44,155,107,171,0,0,58192
45,130,148,189,0,0,57903
46,140,79,238,0,127,59005
47,133,141,295,0,136,60192
48,172,108,220,0,91,62019
49,178,134,263,0,60,63080
50,184,166,281,0,51,63623
51,200,212,286,0,51,67900
52,206,213,337,0,59,70464
53,228,246,410,0,72,70303
54,255,260,413,0,57,72126
55,299,288,499,0,53,76395
56,313,297,378,0,47,76870
57,309,308,499,0,46,77933
58,372,271,514,0,40,78602
59,322,334,522,0,35,80671
60,459,297,551,0,34,81172
61,435,361,573,0,36,81659
62,458,347,675,0,39,85375
63,413,497,593,0,44,87073
64,511,461,720,0,38,88244
65,603,456,764,0,35,87914
66,625,433,703,0,35,89691
67,671,471,708,0,33,93317
68,708,511,734,0,31,95066
69,783,659,784,0,250,94460
70,791,634,781,0,131,93902
71,776,617,949,0,148,97231
72,855,697,1078,0,177,98492
73,936,709,827,0,116,97190
74,1034,782,956,0,113,99619
75,984,935,1066,0,106,100669
76,1054,840,1032,0,105,104449
77,1136,1074,1051,0,126,107424
78,1134,1102,1160,0,434,103825
79,1210,1154,1204,0,253,106491
80,1140,1089,1260,0,209,107166
81,1164,1188,1319,0,177,109007
82,1396,1251,1471,0,170,115119
83,1439,1439,1415,0,420,111797
84,1482,1402,1718,0,908,112353
85,1602,1493,1593,0,959,114134
86,1719,1499,1623,0,869,115736
87,1712,1591,1711,0,672,111420
88,1940,1693,1918,0,728,111474
89,1937,1820,2023,0,1374,110500
90,2097,2017,2150,0,943,112943
91,2119,2031,2025,0,875,117728
92,2467,2099,2326,0,772,116702
93,2286,2224,2394,0,705,115479
94,2510,2498,2425,0,889,115895
95,2569,2527,2562,0,933,118543
96,2829,2524,2659,0,1075,121729
97,2837,2705,2732,0,1293,120170
98,3005,2897,2904,0,1181,121371
99,3225,3060,3064,0,1382,124375
