,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,26
43,0,0,0,0,0,1197
44,0,0,0,0,0,1839
45,0,0,0,0,0,9104
46,0,0,0,0,0,99901
47,0,0,0,0,0,132528
48,0,0,0,0,0,87781
49,0,0,0,0,0,70478
50,0,0,0,0,0,58157
51,0,0,0,0,0,52743
52,0,0,0,0,0,52835
53,0,0,0,0,0,47101
54,0,0,0,0,0,39756
55,0,0,0,0,0,42393
56,0,0,0,0,0,36651
57,0,0,0,0,0,33711
58,0,0,0,0,0,36322
59,0,0,0,0,0,35185
60,0,0,0,0,0,31633
61,0,0,0,0,0,33203
62,0,44,0,0,0,34318
63,0,118,0,0,0,28778
64,0,57,0,0,0,24860
65,0,54,0,0,0,23293
66,0,60,0,0,0,29414
67,0,6,0,0,0,28643
68,0,42,0,0,0,26699
69,0,9,0,0,0,23452
70,0,33,0,0,0,28364
71,0,1,0,0,0,26953
72,0,33,0,0,0,28331
73,0,35,0,0,0,24664
74,0,2,0,0,0,20982
75,0,0,0,0,0,24075
76,0,8,0,0,0,22479
77,0,26,0,0,0,19510
78,0,28,0,0,0,20923
79,0,65,0,0,0,20538
80,0,12,0,0,0,21129
81,0,3,0,0,0,16696
82,0,8,0,0,0,17126
83,0,52,0,0,0,16207
84,0,20,0,0,0,19568
85,0,122,0,0,0,22774
86,0,0,0,0,0,20130
87,0,15,0,0,0,21592
88,0,6,0,0,0,21098
89,0,62,0,0,0,21737
90,0,43,0,0,0,17840
91,0,35,0,0,0,19512
92,0,30,0,0,0,21353
93,0,2,0,0,0,21320
94,0,0,0,0,0,20682
95,0,16,0,0,0,21635
96,0,37,0,0,0,19916
97,0,0,0,0,0,19897
98,0,33,0,0,0,20269
99,0,34,0,0,0,19293
100,0,11,0,0,0,20821
101,0,23,7,0,0,22164
102,0,5,100,0,0,23099
103,0,18,150,0,0,20099
104,0,2,188,0,0,23115
105,0,8,185,0,0,19632
106,0,17,188,0,0,19667
107,0,18,276,0,0,21223
108,0,35,232,0,0,19187
109,0,112,261,0,0,18420
110,0,422,187,0,0,16818
111,0,101,270,0,0,16410
112,0,355,243,0,0,15731
113,0,47,194,0,0,11366
114,0,198,160,0,0,11595
115,0,74,197,0,0,14330
116,0,54,260,0,0,11086
117,0,204,228,0,0,8982
118,0,146,208,0,0,8966
119,0,52,351,0,0,8229
120,0,118,326,0,0,6612
121,0,149,328,0,0,6787
122,0,225,463,0,0,4603
123,0,69,765,0,0,4700
124,0,37,902,0,0,4986
125,0,36,752,0,0,3904
126,0,94,710,0,0,3422
127,0,23,697,0,0,2451
128,0,94,872,0,0,2311
129,0,168,860,0,0,2227
130,0,318,1073,0,0,2301
131,0,156,1280,0,0,3060
132,0,268,1523,0,0,3134
133,0,355,1668,0,0,2845
134,0,403,1675,0,0,1890
135,0,327,1660,0,0,1675
136,0,285,1900,0,0,1574
137,0,424,2303,0,0,1632
138,0,372,2343,0,0,1560
139,0,387,2468,0,0,1706
140,0,166,2280,0,0,1970
141,0,91,2847,0,0,2690
142,0,772,3110,0,0,2467
143,0,800,2963,0,0,2056
144,0,771,2934,0,0,864
145,0,540,2730,0,0,1133
146,53,423,2923,0,0,1255
147,402,766,3257,0,0,4505
148,750,778,2986,0,0,2612
149,376,1124,3070,0,0,915
150,340,385,3607,0,0,824
151,496,517,3711,0,0,846
152,294,503,3887,0,0,890
153,226,691,4213,0,0,979
154,45,283,4600,0,0,761
155,67,444,4248,0,0,752
156,168,530,5315,0,0,808
157,264,397,5919,0,0,893
158,244,742,5460,0,0,1082
159,248,538,6118,0,0,1769
160,194,724,6018,0,0,593
161,185,420,5628,0,0,620
162,295,782,5235,0,0,559
163,148,877,5524,0,0,625
164,328,1186,5629,0,0,688
165,99,822,5476,0,0,720
166,88,733,5899,0,0,765
167,104,763,6807,0,0,874
168,69,1049,6832,0,0,881
169,6,1416,7617,0,0,1160
170,25,1803,7938,0,0,2047
171,21,1699,7970,0,0,226
172,54,1621,7664,0,0,230
173,147,1591,8811,0,19,237
174,420,1959,9590,0,84,241
175,327,1419,9412,0,85,248
176,412,1657,10020,0,83,249
177,346,2078,9886,0,83,263
178,577,1857,9539,0,83,278
179,1152,2054,9319,0,83,284
180,2004,1631,9762,0,82,294
181,1952,1650,10030,0,82,393
182,2475,1893,10528,0,78,467
183,3628,1767,11823,0,76,498
184,2874,1767,11765,780,75,532
185,3541,2014,11666,450,75,669
186,3014,1641,12012,861,75,776
187,4151,986,12372,1431,865,848
188,4649,1775,12266,969,520,930
189,4316,1876,11462,2366,401,1044
190,3605,2552,12009,1605,350,1665
191,3494,2256,12937,1465,317,650
