,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,336
19,0,0,0,0,0,470
20,0,0,0,0,0,301
21,0,0,0,0,0,226
22,0,0,0,0,0,188
23,0,0,0,0,0,176
24,0,0,0,0,0,176
25,0,0,0,0,0,144
26,0,0,0,0,0,104
27,0,0,0,0,0,72
28,0,0,0,0,0,68
29,0,0,0,0,0,61
30,0,0,0,0,0,52
31,0,0,0,0,0,51
32,0,0,0,0,0,852
33,0,0,0,0,0,1041
34,0,0,0,0,0,2609
35,0,0,0,0,0,976
36,0,0,0,0,0,724
37,0,0,0,0,0,615
38,0,0,0,0,0,599
39,0,0,0,0,0,562
40,0,0,0,0,0,1167
41,0,0,0,0,0,1121
42,0,0,0,0,0,965
43,0,0,0,0,0,834
44,0,0,0,0,0,1471
45,0,0,0,0,0,1475
46,0,0,0,0,0,1311
47,0,0,0,0,0,1036
48,0,0,0,0,0,1774
49,0,0,0,0,0,2057
50,0,0,0,0,0,2018
51,0,0,0,0,0,1731
52,0,0,0,0,0,2626
53,0,0,0,0,0,3022
54,0,0,0,0,0,2535
55,0,0,0,0,0,2672
56,0,0,0,0,0,3055
57,0,0,0,0,0,3534
58,0,0,0,0,0,4231
59,0,0,0,0,0,3483
60,0,0,0,0,0,3149
61,0,0,0,0,0,6209
62,0,0,0,0,0,4442
63,0,0,0,0,0,4934
64,0,0,0,0,0,5418
65,0,0,0,0,0,4711
66,0,0,0,0,0,6266
67,0,0,0,0,0,7210
68,0,0,0,0,0,7458
69,0,0,0,0,0,8410
70,0,0,0,0,0,8399
71,0,0,0,0,0,8297
72,0,0,0,0,0,10477
73,0,0,0,0,0,8911
74,0,0,0,0,0,9078
75,0,0,0,0,0,9072
76,0,0,0,0,0,10073
77,0,0,0,0,0,10795
78,0,0,0,0,0,15468
79,0,0,0,0,0,13551
80,0,0,0,0,0,12648
81,0,0,0,0,0,14047
82,0,0,0,0,0,14032
83,0,0,0,0,0,15208
84,0,0,0,0,0,16065
85,0,0,0,0,0,15857
86,0,0,0,0,0,16383
87,0,0,0,0,0,17075
88,0,0,0,0,0,17143
89,0,0,0,0,0,18405
90,0,0,0,0,0,17739
91,0,0,0,0,0,20232
92,0,0,0,0,0,24360
93,0,0,0,0,0,24043
94,0,0,0,0,0,24574
95,0,0,0,0,0,24780
96,0,0,0,0,0,25356
97,0,0,0,0,0,25571
98,0,0,0,0,0,25723
99,0,0,0,0,0,25324
100,0,0,0,0,0,25353
101,0,0,0,0,0,27085
102,0,0,0,0,0,28284
103,0,0,0,0,0,24176
104,0,0,0,0,0,24853
105,0,0,0,0,0,22698
106,0,0,0,0,0,23036
107,0,0,0,0,0,25985
108,0,0,0,0,0,22319
109,0,0,0,0,0,25660
110,0,0,0,0,0,24797
111,0,0,0,0,0,24470
112,0,0,0,0,0,24182
113,0,0,0,0,0,23822
114,0,0,0,0,0,21047
115,0,0,0,0,0,20805
116,0,0,0,0,0,24995
117,0,0,0,0,0,25300
118,0,0,0,0,0,24529
119,0,0,0,0,0,21063
120,0,0,0,0,0,23718
121,0,0,0,0,0,23913
122,0,0,0,0,0,24815
123,0,0,0,0,0,25049
124,0,0,0,0,0,23051
125,0,0,0,0,0,25586
126,0,0,0,0,0,21177
127,0,0,0,0,0,24771
128,0,0,0,0,0,23237
129,0,0,0,0,0,20167
130,0,0,0,0,0,16634
131,0,0,0,0,0,18439
132,0,0,0,0,0,21250
133,0,0,0,0,0,22189
134,0,0,0,0,0,19333
135,0,0,0,0,0,20723
136,0,0,0,0,0,20491
137,0,0,0,0,0,19246
138,0,0,0,0,0,17222
139,0,0,0,0,0,17290
140,0,0,0,0,0,15449
141,0,0,0,0,0,16476
142,0,0,0,0,0,15675
143,0,0,0,0,0,13953
144,0,0,0,0,0,12198
145,0,0,0,0,0,10520
146,0,0,0,0,0,12437
147,0,0,0,0,0,13898
148,0,0,0,0,0,15221
149,0,0,0,0,0,12617
150,0,0,0,0,0,12743
151,0,0,0,0,0,9446
152,0,0,0,0,0,11737
153,0,0,0,0,0,11460
154,0,0,0,0,0,10014
155,0,0,0,0,0,6026
156,0,0,0,0,0,8593
157,0,0,0,0,0,8301
158,0,0,0,0,0,5630
159,0,0,0,0,0,4166
160,0,0,0,0,0,3912
161,0,0,0,0,0,5327
162,0,0,0,0,0,5271
163,0,0,0,0,0,3853
164,0,0,0,0,0,2579
165,0,0,0,0,0,2191
166,0,0,0,0,0,1819
167,0,0,0,0,0,1802
168,3,0,0,0,0,1948
169,8,0,0,0,0,2073
170,37,0,0,0,0,2278
171,17,0,0,0,0,2745
172,109,26,0,0,61,2667
173,270,24,0,0,128,3363
174,293,44,0,0,92,2572
175,292,32,0,0,468,1527
176,243,17,0,0,388,1730
177,167,95,0,0,466,2242
178,205,141,9,0,923,2049
179,216,139,21,0,669,1345
180,198,256,74,0,540,764
181,324,225,133,0,434,1067
182,247,202,40,0,360,763
183,372,149,66,0,336,772
184,360,168,67,0,313,838
185,452,176,194,0,289,1552
186,517,91,275,0,286,566
187,675,110,265,0,270,821
188,777,64,170,0,277,1153
189,1021,39,257,350,286,973
190,849,149,372,256,368,476
191,1014,168,429,194,447,493
192,1445,98,548,171,697,536
193,1397,207,686,136,928,693
194,1658,325,649,118,427,831
195,1797,266,524,109,439,297
196,1915,373,503,102,457,594
