,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,3652
43,0,0,0,0,0,22754
44,0,0,0,0,0,36870
45,0,0,0,0,0,36266
46,0,0,0,0,0,34850
47,0,0,0,0,0,37574
48,0,0,0,0,0,41254
49,0,0,0,0,0,43332
50,0,0,0,0,0,43582
51,0,0,0,0,0,50822
52,0,0,0,0,0,48758
53,0,0,0,0,0,53163
54,0,0,0,0,0,50970
55,0,0,0,0,0,50677
56,0,0,0,0,0,49857
57,0,0,0,0,0,44827
58,0,0,0,0,0,47638
59,0,0,0,0,0,47943
60,0,0,0,0,0,53178
61,0,0,0,0,0,53431
62,0,0,0,0,0,45823
63,0,0,0,0,0,43725
64,0,0,0,0,0,43956
65,0,0,0,0,0,45610
66,0,0,0,0,0,42070
67,0,0,0,0,0,42370
68,0,0,0,0,0,39997
69,0,0,0,0,0,38914
70,0,0,0,0,0,36049
71,0,0,0,0,0,37989
72,0,0,0,0,0,35240
73,0,0,0,0,0,38233
74,0,0,0,0,0,41545
75,0,0,0,0,0,40319
76,0,0,0,0,0,35811
77,0,0,0,0,0,34686
78,0,0,0,0,0,31268
79,0,0,0,0,0,36622
80,0,0,0,0,0,42668
81,0,0,0,0,0,38218
82,0,0,0,0,0,30678
83,0,0,0,0,0,28346
84,0,0,0,0,0,26513
85,0,0,0,0,0,26934
86,0,0,0,0,0,26133
87,0,0,0,0,0,23020
88,0,0,0,0,0,23438
89,0,0,0,0,0,24264
90,0,0,0,0,0,22743
91,0,0,0,0,0,24400
92,0,0,0,0,0,27456
93,0,0,0,0,0,17940
94,0,0,0,0,0,17382
95,0,0,0,0,0,19516
96,0,0,0,0,0,19643
97,0,0,0,0,0,18689
98,0,0,0,0,0,18438
99,0,0,0,0,0,17796
100,0,0,0,0,0,25237
101,0,0,0,0,0,20838
102,0,0,0,0,0,17266
103,0,0,0,0,0,18206
104,0,0,0,0,0,16181
105,0,0,0,0,0,16488
106,0,0,0,0,0,20966
107,0,0,0,0,0,16287
108,0,0,0,0,0,12045
109,0,0,0,0,0,12581
110,0,0,0,0,0,10316
111,0,0,0,0,0,9942
112,0,0,0,0,0,9256
113,0,0,0,0,0,8790
114,0,0,0,0,0,10677
115,0,0,0,0,0,7701
116,0,0,0,0,0,6944
117,0,0,0,0,0,9420
118,0,0,0,0,0,7057
119,0,0,0,0,0,7475
120,0,0,0,0,0,7293
121,0,0,0,0,0,4356
122,0,0,0,0,0,5232
123,0,0,0,0,0,4920
124,0,0,0,0,0,4522
125,0,0,0,0,0,3765
126,0,0,0,0,0,2883
127,0,0,0,0,0,3345
128,0,0,0,0,0,2402
129,0,0,0,0,0,1910
130,0,0,0,0,0,1558
131,0,0,0,0,0,1809
132,0,0,0,0,0,1671
133,0,0,0,0,0,1870
134,0,0,0,0,0,1736
135,0,0,0,0,0,1117
136,0,0,0,0,0,954
137,0,0,0,0,0,1080
138,0,0,0,0,0,792
139,0,0,0,0,0,720
140,0,0,0,0,0,664
141,0,0,0,0,0,708
142,0,0,0,0,0,671
143,0,0,0,0,0,666
144,0,0,0,0,0,1383
145,0,0,0,0,0,300
146,0,0,0,0,0,324
147,0,0,0,0,0,362
148,0,0,0,0,0,537
149,0,0,0,0,0,1273
150,0,0,0,0,0,139
151,16,0,0,0,0,132
152,30,0,0,0,0,138
153,11,0,0,0,0,189
154,22,0,0,0,0,193
155,67,0,0,0,0,170
156,94,0,0,0,0,157
157,79,0,0,0,0,194
158,220,0,0,0,0,101
159,253,0,0,0,0,0
160,303,0,0,0,0,0
161,285,0,0,0,0,0
162,432,6,0,0,0,0
163,623,28,0,0,0,0
164,885,73,0,0,0,0
165,1097,158,0,0,0,0
166,1448,297,0,0,0,0
167,1658,251,0,0,0,0
168,1744,253,0,0,0,0
169,1873,215,0,0,0,0
170,2089,365,0,0,0,0
171,2489,203,0,70,0,0
172,2989,253,0,108,0,0
173,3003,150,0,83,0,0
174,3540,121,0,407,0,0
175,4346,254,0,859,260,0
176,4151,305,0,1483,466,0
177,4570,323,0,1763,263,0
178,4966,453,0,1920,1477,0
179,5463,548,0,4173,570,0
180,7086,680,0,4921,458,0
181,8509,734,0,6497,408,0
182,9438,643,19,8879,365,0
183,10387,844,136,10243,324,0
184,10533,869,103,10017,327,0
185,11347,1090,102,11394,360,0
186,12100,1661,130,11670,340,0
187,12823,1459,205,14259,339,0
188,13223,1429,363,13509,452,0
189,14692,1638,711,14737,840,0
190,14955,1575,847,17002,1855,0
191,15836,2045,818,16740,1242,0
192,14831,2683,750,17223,951,0
193,16404,2740,657,17634,1545,0
194,17492,3715,1133,18870,2564,0
