,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,204
99,0,0,0,0,0,90
100,0,0,0,0,0,53
101,0,0,0,0,0,47
102,0,0,0,0,0,45
103,0,0,0,0,0,61
104,0,0,0,0,0,47
105,0,0,0,0,0,51
106,0,0,0,0,0,151
107,0,0,0,0,0,135
108,0,0,0,0,0,127
109,0,0,0,0,0,121
110,0,0,0,0,0,316
111,0,0,0,0,0,355
112,0,0,0,0,0,190
113,0,0,0,0,0,157
114,5,0,0,0,0,147
115,5,0,0,0,0,129
116,2,0,0,0,0,126
117,1,0,0,0,0,122
118,1,0,0,0,0,431
119,2,0,0,0,0,193
120,14,0,0,0,0,161
121,25,0,0,0,0,228
122,12,0,0,0,0,208
123,21,0,0,0,0,159
124,38,0,0,0,0,173
125,50,0,0,0,0,403
126,45,0,0,0,0,350
127,22,0,0,0,0,554
128,21,0,0,0,0,1019
129,58,0,0,0,0,969
130,23,0,0,0,0,795
131,25,0,0,0,0,628
132,19,0,0,0,0,628
133,3,0,1,0,0,694
134,8,0,16,0,0,713
135,19,0,15,0,0,1414
136,21,0,14,0,0,992
137,21,0,23,0,0,1664
138,9,0,11,0,0,1208
139,30,0,17,0,0,998
140,38,0,22,0,0,1161
141,31,9,29,0,0,2011
142,25,16,42,0,0,1649
143,38,57,9,0,0,1719
144,24,61,26,0,0,2616
145,82,98,11,0,0,2613
146,42,120,19,0,0,2053
147,47,138,19,0,0,2344
148,85,84,19,0,0,3046
149,51,135,34,0,0,3569
150,96,94,26,0,0,3789
151,129,133,67,0,0,3569
152,167,121,82,0,0,3014
153,166,131,122,0,0,3081
154,157,187,170,0,0,3106
155,237,177,151,0,0,3477
156,204,177,191,0,0,4749
157,234,230,250,0,38,3177
158,228,194,217,0,67,3593
159,214,197,206,0,59,4646
160,259,229,253,0,57,5019
161,251,238,270,0,51,4985
162,289,272,279,0,54,5324
163,329,336,225,0,54,5700
164,388,383,256,0,57,5194
165,340,296,258,0,54,4858
166,348,378,243,0,60,5035
167,355,428,306,0,61,5885
168,411,472,355,0,147,5081
169,450,473,365,0,270,4518
170,417,497,448,0,152,6485
171,529,531,512,0,162,7335
172,621,512,513,0,178,6827
173,629,489,474,0,173,6463
174,632,456,597,0,219,6976
175,642,528,533,0,232,7130
176,657,545,622,0,241,8558
177,729,582,659,0,309,7677
178,861,648,719,0,711,5979
179,878,626,704,0,516,7007
180,1054,630,853,0,482,7530
181,851,853,854,0,478,8116
182,850,951,1009,0,643,6671
183,999,991,992,0,944,6154
184,1020,955,1051,0,721,7209
185,1195,1167,1000,0,785,6572
186,1136,1045,977,0,1097,7850
187,1126,1147,1043,0,1482,9036
188,1138,1215,1248,0,1088,9812
189,1352,1351,1259,0,801,9310
190,1416,1400,1347,0,1367,10232
191,1475,1532,1444,0,1446,10209
192,1523,1534,1554,0,1402,8964
193,1739,1722,1630,0,1605,10213
194,1798,1741,1820,73,1690,8217
195,1819,2068,1678,78,2188,9199
196,1951,2137,1895,220,2015,10011
197,1953,2109,1993,104,2081,8995
198,2106,2200,2143,82,2065,9479
