,vx,vy,vz,x,y,z
0,0,0,0,0,0,438
1,0,0,0,0,0,1817
2,0,0,0,0,0,3679
3,0,0,0,0,0,3867
4,0,0,0,0,0,5554
5,0,0,0,0,0,4504
6,0,0,0,0,0,4373
7,0,0,0,0,0,4592
8,0,0,0,0,0,5093
9,0,0,0,0,0,6574
10,0,0,0,0,0,7009
11,0,0,0,0,0,7611
12,0,0,0,0,0,8317
13,0,0,0,0,0,9123
14,0,0,0,0,0,9287
15,0,0,0,0,0,9058
16,0,0,0,0,0,9075
17,0,0,0,0,0,9590
18,0,0,0,0,0,8811
19,0,0,0,0,0,8991
20,0,0,0,0,0,9600
21,0,0,0,0,0,7721
22,0,0,0,0,0,7156
23,0,0,0,0,0,7383
24,0,0,0,0,0,9091
25,0,0,0,0,0,9379
26,0,0,0,0,0,9274
27,0,0,0,0,0,8990
28,0,0,0,0,0,10254
29,0,0,0,0,0,8600
30,0,0,0,0,0,7602
31,0,0,0,0,0,8941
32,0,0,0,0,0,8010
33,0,0,0,0,0,7978
34,0,0,0,0,0,8716
35,0,0,0,0,0,6769
36,0,0,0,0,0,8213
37,0,0,0,0,0,7530
38,0,0,0,0,0,7337
39,0,0,0,0,0,8664
40,0,0,0,0,0,8009
41,0,0,0,0,0,8709
42,0,0,0,0,0,9509
43,0,0,0,0,0,10036
44,0,0,0,0,0,7646
45,0,0,0,0,0,8639
46,0,0,0,0,0,6947
47,0,0,0,0,0,7729
48,0,0,0,0,0,6739
49,0,0,0,0,0,6740
50,0,0,0,0,0,7098
51,0,0,0,0,0,9535
52,0,0,0,0,0,11636
53,0,0,0,0,0,10309
54,0,0,0,0,0,10175
55,0,0,0,0,0,10908
56,0,0,0,0,0,9806
57,0,0,0,0,0,9293
58,0,0,0,0,0,10478
59,0,0,0,0,0,6141
60,0,0,0,0,0,8544
61,0,0,0,0,0,6832
62,0,0,0,0,0,6502
63,0,0,0,0,0,6676
64,0,0,0,0,0,7673
65,0,0,0,0,0,8221
66,0,0,0,0,0,7343
67,0,0,0,0,0,6989
68,0,0,0,0,0,7934
69,0,0,0,0,0,7554
70,0,0,0,0,0,6629
71,0,0,0,0,0,8540
72,0,0,0,0,0,8179
73,0,0,0,0,0,7343
74,0,0,0,0,0,6717
75,0,0,0,0,0,5065
76,0,0,0,0,0,5557
77,0,0,0,0,0,5680
78,0,0,0,0,0,7551
79,0,0,0,0,0,6853
80,0,0,0,0,0,5647
81,0,0,0,0,0,6313
82,0,0,0,0,0,7616
83,0,0,0,0,0,7557
84,0,0,0,0,0,6490
85,0,0,0,0,0,7016
86,0,0,0,0,0,6081
87,0,0,0,0,0,6231
88,0,0,0,0,0,5955
89,0,0,0,0,0,4342
90,0,0,0,0,0,4524
91,0,0,0,0,0,5675
92,0,0,0,0,0,3576
93,0,0,0,0,0,3597
94,0,0,0,0,0,3537
95,0,0,0,0,0,4209
96,0,0,0,0,0,4391
97,0,0,0,0,0,5108
98,0,0,0,0,0,4308
99,0,0,0,0,0,3884
100,0,0,0,0,0,4001
101,0,0,0,0,0,3261
102,0,0,0,0,0,4685
103,0,0,0,0,0,4507
104,0,0,0,0,0,4444
105,0,0,0,0,0,3157
106,0,0,0,0,0,2722
107,0,0,0,0,0,3510
108,0,0,0,0,0,2872
109,0,0,0,0,0,2530
110,0,0,0,0,0,2356
111,0,0,0,0,0,1610
112,0,0,0,0,0,2155
113,0,0,0,0,0,2459
114,0,0,0,0,0,2809
115,0,0,0,0,0,2405
116,0,0,0,0,0,3410
117,0,0,0,0,0,2760
118,0,0,0,0,0,2654
119,0,0,0,0,0,1097
120,0,0,0,0,0,1061
121,0,0,0,0,0,1211
122,0,0,0,0,0,999
123,0,0,0,0,0,1066
124,0,0,0,0,0,1323
125,0,0,0,0,0,831
126,0,0,0,0,0,804
127,0,0,0,0,0,794
128,0,0,0,0,0,905
129,0,0,0,0,0,1348
130,0,0,0,0,0,1112
131,0,0,0,0,0,344
132,0,0,0,0,80,395
133,0,0,0,0,121,595
134,0,0,0,0,121,934
135,0,0,0,0,133,680
136,0,0,0,0,110,432
137,11,0,0,0,150,443
138,7,0,0,0,137,472
139,44,0,0,0,128,487
140,144,0,0,0,122,433
141,58,0,0,0,119,377
142,155,0,0,0,117,407
143,128,0,0,0,108,371
144,97,0,0,0,104,438
145,95,0,0,0,533,664
146,77,0,0,0,490,165
147,25,0,0,0,398,168
148,38,0,0,0,352,176
149,48,0,0,0,274,247
150,24,0,0,0,207,291
151,86,0,0,0,187,440
152,87,0,0,0,175,536
153,89,0,0,0,165,1735
154,119,0,0,36,152,392
155,232,0,0,55,171,464
156,413,0,0,44,166,495
157,526,0,0,324,150,38
158,764,0,0,263,165,36
159,911,0,0,204,523,35
160,852,0,0,146,301,36
161,824,0,0,84,273,37
162,753,0,0,78,307,37
163,842,0,0,105,387,82
164,1055,0,0,419,838,85
165,1080,0,0,269,719,86
166,1109,0,0,233,611,86
167,1213,0,0,405,582,91
168,1161,0,0,624,578,166
169,1681,0,0,402,563,210
170,1755,0,0,349,572,216
171,2041,0,0,340,536,220
172,2283,0,0,535,638,485
173,2234,0,0,1381,741,1278
174,2288,0,0,1110,775,104
175,2851,0,0,842,769,113
176,2773,82,0,870,1409,125
177,3058,177,0,1020,992,126
178,3503,117,0,947,1833,109
179,3672,159,0,1277,1409,180
180,3797,126,0,1823,1117,311
181,3335,88,0,2670,1114,629
182,3345,218,0,3160,1423,0
183,3571,199,11,3304,1225,0
184,3611,172,13,3440,1859,0
185,4095,64,14,2693,1208,0
186,3995,171,26,2421,1257,0
187,3805,182,89,3159,2048,0
188,3980,115,41,2983,3413,0
189,3243,127,43,3295,2358,0
190,3891,177,66,3607,2261,0
191,4886,428,139,3160,2716,0
192,4700,520,98,3160,3075,0
193,5156,560,58,3163,2956,0
194,6427,567,189,4610,3651,0
195,5586,686,329,3716,2705,0
196,5758,640,414,3783,2384,0
197,5994,796,419,3812,2162,0
198,5391,1219,577,5535,2254,0
199,5969,1607,534,4846,2158,0
200,5785,1905,581,4548,2224,0
201,5546,2139,463,4314,1991,0
202,6118,2010,580,4709,2149,0
203,7019,1966,748,4568,2514,0
204,6357,1840,617,4691,2882,0
205,6861,2506,677,4275,2558,0
206,6364,2540,807,4264,4160,0
207,6282,2659,1154,4336,3475,0
208,6141,3118,985,4381,4150,0
209,6347,3065,1462,5983,3649,0
210,6273,2953,2000,6185,3357,0
211,6093,3035,2215,5758,3196,0
212,6045,3372,2420,5249,3551,0
213,6293,3732,2695,5020,3741,0
214,5529,4221,3276,5054,4033,0
215,5007,3772,3116,5153,4110,0
216,5396,3711,2834,4956,4400,0
217,5893,3936,3654,5195,4814,0
218,5530,4550,4045,5229,4190,0
219,5870,4745,4217,5159,3887,0
220,5117,4829,4954,5171,4607,0
221,4553,5699,5847,5185,3880,0
222,4396,5874,5729,5259,3779,0
223,4630,6386,5534,5093,4296,0
224,5186,7184,6237,6432,5613,0
225,4874,6078,6122,5844,5275,0
226,5090,7236,7411,5563,4017,0
227,4678,7586,7568,5763,4864,0
228,4843,7686,8475,6892,6456,0
229,4042,7711,9692,6549,5919,0
230,4319,7748,9974,6370,6339,0
231,4323,8793,10067,6921,6316,0
232,3980,8503,10325,6626,7418,0
233,3875,7351,11982,6549,7130,0
234,3381,8403,12188,6619,7758,0
235,4144,8099,12610,6516,8604,0
