,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,585
11,0,0,0,0,0,267
12,0,0,0,0,0,252
13,0,0,0,0,0,253
14,0,0,0,0,0,758
15,0,0,0,0,0,1219
16,0,0,0,0,0,611
17,4,0,0,0,0,470
18,1,0,0,0,0,373
19,3,0,0,0,0,629
20,0,0,0,0,0,632
21,2,0,0,0,0,539
22,4,0,0,0,0,424
23,4,0,0,0,0,452
24,4,0,0,0,0,1910
25,2,0,0,0,0,1600
26,0,0,0,0,0,1006
27,4,0,0,0,0,851
28,15,0,0,0,0,814
29,19,0,0,0,0,668
30,12,0,0,0,0,584
31,15,0,0,0,0,1907
32,20,0,0,0,0,1864
33,51,0,0,0,0,2238
34,22,0,0,0,0,2402
35,21,0,0,0,0,2909
36,18,0,0,0,0,3364
37,17,0,0,0,0,3099
38,1,0,0,0,0,2447
39,1,0,0,0,0,2260
40,4,0,0,0,0,2235
41,21,0,0,0,0,3234
42,34,0,0,0,0,3615
43,43,0,0,0,0,4787
44,117,0,0,0,0,4654
45,114,0,0,0,0,5905
46,147,0,0,0,0,6656
47,72,0,0,0,0,6033
48,54,0,0,0,0,6968
49,104,0,0,0,0,7078
50,109,0,0,0,0,6824
51,128,0,0,0,0,7617
52,132,0,0,0,0,7458
53,120,0,0,0,0,8488
54,107,0,0,0,0,8694
55,144,0,0,0,0,9459
56,79,0,0,0,0,11796
57,137,0,0,0,0,11889
58,117,0,0,0,0,15110
59,143,0,0,0,0,13225
60,117,0,0,0,0,15974
61,109,0,0,0,0,13248
62,85,0,0,0,0,14925
63,103,0,0,0,0,15466
64,77,0,0,0,0,14491
65,85,0,0,0,0,12540
66,93,0,0,0,0,14700
67,101,0,0,0,0,14983
68,113,0,0,0,0,16888
69,149,0,0,0,0,18204
70,172,0,0,0,0,18239
71,153,0,0,0,0,21847
72,184,0,0,0,0,24303
73,114,0,0,0,0,26403
74,99,0,0,0,0,25199
75,130,0,0,0,0,27978
76,118,0,0,0,0,29142
77,115,0,0,0,0,27539
78,99,0,0,0,0,27443
79,147,0,0,0,0,27487
80,150,0,0,0,0,28437
81,143,0,0,0,0,30539
82,121,0,0,0,0,32682
83,209,0,0,0,0,30666
84,162,0,0,0,0,33867
85,163,0,0,0,0,34553
86,224,0,0,0,0,33279
87,284,0,0,0,0,34000
88,226,0,0,0,0,36169
89,228,0,0,0,0,42292
90,187,0,0,0,0,41137
91,312,0,0,0,0,40025
92,302,0,0,0,0,39150
93,319,0,0,0,0,44914
94,446,0,0,0,0,46040
95,356,0,0,0,0,44740
96,381,0,0,0,0,47450
97,352,0,0,0,0,43585
98,381,0,0,0,0,42516
99,363,0,0,0,0,39756
100,479,0,0,0,0,37654
101,413,0,0,0,0,38800
102,434,0,0,0,0,41163
103,391,0,0,0,0,39470
104,567,0,0,0,0,42474
105,438,0,0,0,0,38279
106,553,0,0,0,0,38849
107,610,0,0,0,0,40628
108,652,0,0,0,0,37360
109,863,0,0,0,0,31166
110,766,0,0,0,0,33930
111,847,0,0,2380,0,31618
112,765,0,0,2435,0,30411
113,831,0,0,6420,0,28560
114,857,0,0,5128,0,32002
115,869,0,0,6915,0,30566
116,882,0,0,10568,0,29461
117,869,0,0,12131,0,31148
118,957,0,0,13408,0,31579
119,1000,0,0,14560,0,31739
120,888,0,0,19187,0,31869
121,984,0,0,14898,0,36659
122,1151,0,0,20700,0,35014
123,1165,0,0,21997,0,28616
124,1034,0,0,24084,0,27408
125,1160,0,0,22398,0,26684
126,1079,8,0,23824,0,26222
127,1020,48,0,26761,0,24809
128,881,71,0,23826,0,25706
129,887,125,0,25204,0,23959
130,834,135,0,33007,0,21780
131,941,71,0,27134,0,20489
132,1118,65,0,32291,0,21508
133,1113,76,0,31110,0,20029
134,1057,72,0,27178,0,20858
135,1345,80,0,26904,0,20845
136,1347,70,0,23595,0,19594
137,1403,126,0,28846,0,19520
138,1390,61,0,24786,0,18144
139,1499,17,0,25122,0,20441
140,1415,26,0,24118,0,22566
141,1545,43,0,21897,0,21748
142,1581,87,0,21161,0,22260
143,1830,116,0,18952,0,22966
144,1732,184,0,20156,0,23473
145,1791,189,0,19376,0,23531
146,1844,140,0,20100,0,23221
147,2215,338,0,20478,0,22411
148,2483,290,0,19337,0,18903
149,2249,731,0,17728,0,16504
150,2513,615,0,18434,0,17146
151,2262,763,0,18599,0,16561
152,2225,894,0,17327,0,15721
153,2429,788,0,16912,0,16932
154,2165,1190,0,17618,0,17246
155,2380,1154,0,16889,0,16875
156,2764,1007,0,15660,0,16679
157,2828,1109,0,15216,0,16202
158,2933,1516,3,13006,0,17217
159,3016,1484,21,13001,609,16977
160,3305,1595,35,13446,226,18874
161,3194,1876,63,13879,174,19308
162,3226,2319,70,13840,176,19135
163,3354,2636,66,12430,155,18719
164,3223,2873,59,11197,139,20827
165,2935,3417,70,12450,129,21911
166,3002,2931,96,11738,110,21210
167,3152,3012,34,12704,106,22710
168,3156,3792,73,13274,101,21668
169,3367,3952,88,11107,100,22056
170,3230,4331,112,11253,93,22822
171,3240,4457,70,12403,105,23248
172,3439,4210,46,10912,132,23419
173,3976,5271,33,9873,123,23920
174,4097,5118,114,10539,114,26744
175,4008,5771,115,11310,159,24566
176,3986,6430,84,11737,817,24502
177,3968,6330,43,11122,604,27144
178,3878,6155,56,12336,1671,27191
179,4466,6183,94,10753,1433,24917
180,4586,7285,61,10246,1942,27404
181,4968,7618,48,10745,1744,31239
182,5370,7826,83,11169,2467,30268
183,5454,8082,236,11730,2694,30135
