,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,28,0,0,0,0
68,0,106,0,0,0,0
69,0,221,0,0,0,0
70,0,36,0,0,0,0
71,0,79,0,0,0,0
72,0,239,0,0,0,0
73,0,263,0,0,0,0
74,10,262,0,0,0,0
75,38,165,0,0,0,0
76,196,170,0,0,0,0
77,275,77,0,0,0,0
78,293,305,0,0,0,0
79,372,470,0,0,0,0
80,403,849,0,0,0,0
81,424,871,0,0,0,0
82,797,476,0,0,0,0
83,1081,590,0,0,0,0
84,1183,664,0,0,0,0
85,1540,849,0,0,0,0
86,1699,929,0,0,0,0
87,1885,1222,0,0,0,0
88,1811,1741,0,0,0,0
89,2314,1608,0,0,0,0
90,2276,2021,0,0,0,0
91,2098,2006,0,0,0,0
92,1885,1912,0,7,520,0
93,1906,1634,0,610,852,0
94,1930,1997,0,1686,789,0
95,2053,1922,0,1522,723,0
96,2198,2332,0,1188,1247,0
97,2190,2596,0,2736,982,0
98,2320,2299,0,3522,1490,0
99,2525,2514,0,3327,1136,0
100,2648,3158,0,5085,1961,0
101,2337,3418,0,4118,3900,0
102,2789,3058,0,6005,4951,0
103,2362,2974,0,7135,3810,0
104,2942,2721,0,6929,7131,0
105,3307,2540,0,8950,8599,0
106,3743,2927,0,11532,8481,0
107,3764,3609,0,12122,10676,0
108,3970,3527,0,14817,13690,0
109,4015,2967,0,16818,13358,0
110,4546,3926,0,23460,16033,0
111,4688,3743,0,28245,20983,0
112,4463,4080,0,24302,29791,0
113,4633,4182,0,30846,33649,0
114,4411,3786,0,33698,34425,0
115,4286,3951,0,36650,39578,0
116,4957,4302,0,40699,44949,0
117,4601,4639,0,42134,52861,0
118,4607,5022,0,45560,51681,0
119,4572,5151,0,54261,55274,0
120,5186,5436,0,49718,59459,0
121,5104,5373,0,51596,57013,0
122,5228,5505,0,51910,54374,0
123,5447,4911,0,53701,53642,0
124,5515,5315,0,54186,55022,0
125,6295,5630,0,58494,57772,0
126,6074,5923,0,60077,58181,0
127,6702,6245,0,62026,59519,0
128,6815,7689,0,61901,63549,0
129,7266,7708,0,64870,64382,0
130,7720,7259,0,63993,60026,0
131,7771,7699,0,62881,59874,0
132,7376,7792,0,63531,57368,0
133,6923,7631,0,60204,58583,0
134,6304,7447,0,56646,58960,0
135,6810,7026,0,57457,55113,0
136,6990,7743,0,55315,54471,0
137,7111,7481,0,53506,56325,0
138,7127,7148,0,53242,53812,0
139,7323,7438,0,51916,52631,0
140,6898,8315,0,51404,51460,0
141,7329,8715,0,51350,50949,0
142,7937,8456,0,49043,49744,0
143,8046,7468,0,48104,49418,0
144,8281,8043,0,48190,47446,0
145,8262,8988,0,47033,46751,0
146,8930,9233,0,45496,45647,0
147,9097,9895,0,46022,45333,0
148,8347,9577,0,44788,43677,0
149,9453,10120,0,43109,43722,0
150,9913,9694,0,41938,43471,0
151,10577,9006,0,42151,42378,0
152,10282,9238,0,41998,41311,0
153,10224,8884,0,42444,40051,0
154,10113,10323,0,41151,39525,0
155,9977,9413,0,40333,38813,0
156,10619,10023,0,41117,38495,0
157,10631,9626,0,39259,38874,0
158,10895,9901,0,38463,37176,0
159,10368,10156,0,37210,36124,0
160,10844,10706,0,36029,35458,0
161,11242,11516,0,35429,35598,0
162,11819,11219,0,34191,34270,0
163,12152,11576,0,34819,33868,0
164,11777,11902,0,33507,34917,0
165,11400,12323,0,33741,34009,0
166,12954,12851,0,33001,33998,0
167,14106,13822,0,32622,33151,0
168,13217,13745,0,31690,33550,0
169,13524,14070,0,31920,33611,0
170,14525,14336,0,32020,31461,0
171,13276,14616,0,31050,30309,0
172,14159,14484,0,29835,29591,0
173,15665,14938,0,29348,29509,0
174,15470,16109,0,29678,28380,0
175,15865,16784,0,27914,27612,0
176,15666,17120,0,27610,27301,0
177,16347,16992,0,27238,26887,0
178,15103,17159,0,27066,26638,0
179,15660,16176,0,26450,25141,0
180,16817,16322,0,25999,24794,0
