,vx,vy,vz,x,y,z
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,27,0,0,0,0,0
103,49,0,0,0,0,0
104,186,0,0,0,0,0
105,182,0,0,0,0,0
106,134,0,0,0,0,0
107,130,14,0,0,0,0
108,150,68,0,533,0,0
109,122,101,0,244,0,0
110,79,142,0,169,0,0
111,68,54,0,148,130,0
112,97,190,0,129,360,0
113,50,231,0,448,805,0
114,150,308,0,900,778,0
115,264,331,0,852,1097,0
116,327,185,0,1372,714,0
117,345,284,0,2981,839,0
118,265,370,0,2209,1381,0
119,532,610,0,3424,2241,0
120,542,515,0,3675,3181,0
121,661,221,0,4310,4843,0
122,859,238,0,4555,4846,0
123,955,630,0,6576,5717,0
124,490,851,0,7757,8011,0
125,428,673,0,8702,7651,0
126,559,537,0,11591,8307,0
127,823,641,0,12311,8676,0
128,688,771,0,13853,10675,0
129,755,669,0,15788,13044,0
130,811,756,0,16626,16011,0
131,959,876,0,17326,19949,0
132,1269,910,0,17596,21950,0
133,1088,1278,0,19817,20520,0
134,948,1078,0,19417,23051,0
135,1272,1156,0,18396,23008,0
136,1058,1231,0,21235,23508,0
137,1267,1120,0,22434,23035,0
138,1254,1370,0,23012,23514,0
139,1087,1569,0,26475,22799,0
140,1253,1831,0,23169,23665,0
141,1573,1731,0,22958,23801,0
142,1557,1711,0,24344,23407,0
143,1783,1850,0,28093,22377,0
144,2356,1948,0,26936,22003,0
145,2647,1789,0,28885,20811,0
146,2967,1947,0,27028,22372,0
147,2401,2297,0,25291,22576,0
148,2883,2460,0,24909,21645,0
149,3052,1960,0,23587,24080,0
150,2648,2321,0,22177,22986,0
151,2931,2432,0,21406,22298,0
152,2704,2685,0,21621,22378,0
153,2693,2739,0,21590,21676,0
154,2254,2894,0,20570,22686,0
155,2778,3226,0,20023,21499,0
156,3162,3224,0,19373,20684,0
157,2969,3109,0,20018,20892,0
158,3454,3259,0,18938,20714,0
159,3304,3086,0,18755,20913,0
160,3157,3023,0,18496,20181,0
161,2858,3689,0,17466,19488,0
162,3329,3461,0,16859,18836,0
163,4140,3183,0,17199,18608,0
164,3858,3501,0,16680,17947,0
165,3735,3565,0,15961,17945,0
166,4189,4953,0,15355,18044,0
167,4079,4342,0,14869,17211,0
168,3728,4642,0,16001,16809,0
169,3507,4289,0,16273,16791,0
170,3475,4410,0,16429,16623,0
171,3621,4641,0,16616,15850,0
172,4658,4298,0,16205,15804,0
173,4642,4329,0,16008,15678,0
174,4625,5246,0,15853,15306,0
175,5124,4951,0,15387,14843,0
176,4948,4971,0,14888,15455,0
177,4920,4602,0,14506,15821,0
178,5143,4728,0,13876,15810,0
179,5226,4998,0,14459,15400,0
180,5228,5337,0,13825,14587,0
181,5343,5603,0,13671,14829,0
182,5233,6025,0,14209,14538,0
183,5225,5709,0,14367,13567,0
184,5214,6010,0,13396,13260,0
185,5727,6421,0,13432,13449,0
186,6366,6081,0,13810,12675,0
187,6434,6380,0,13750,12312,0
188,7469,6316,0,13184,12138,0
