,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,5,0
2,0,0,0,0,0,0
3,0,0,0,0,2,0
4,0,0,0,0,0,0
5,0,0,0,0,1,0
6,0,0,0,0,0,0
7,0,0,0,0,1,0
8,0,0,0,0,15,1
9,0,0,0,0,0,1
10,0,0,0,1,3,3
11,0,0,0,1,8,2
12,0,0,0,0,2,2
13,0,0,0,4,1,3
14,0,0,0,5,0,2
15,0,0,0,3,0,4
16,0,0,0,9,6,3
17,0,0,0,4,2,4
18,0,0,0,4,3,2
19,0,0,0,1,0,7
20,0,0,0,11,10,7
21,0,0,0,1,3,6
22,0,0,0,10,7,6
23,0,0,0,1,10,11
24,0,0,0,6,12,11
25,0,0,0,8,8,14
26,0,0,0,8,11,28
27,0,0,0,9,14,17
28,0,0,0,13,25,9
29,0,0,0,7,15,14
30,0,0,0,11,21,11
31,0,0,0,14,14,10
32,0,0,0,11,11,18
33,0,0,0,6,18,20
34,0,0,0,28,41,15
35,0,0,0,6,30,20
36,0,0,0,30,17,26
37,0,0,0,3,13,25
38,0,0,0,14,19,24
39,0,0,0,6,22,27
40,0,0,0,28,27,19
41,0,0,0,24,33,28
42,0,0,0,22,46,32
43,0,0,0,85,31,29
44,0,0,0,31,11,29
45,0,0,0,41,39,28
46,0,0,0,25,55,44
47,0,0,0,21,29,38
48,0,0,0,88,39,44
49,0,0,0,53,50,57
50,0,0,0,33,47,54
51,0,0,0,62,61,67
52,0,0,0,60,29,59
53,0,0,0,38,73,73
54,0,0,0,40,44,67
55,0,0,0,66,64,91
56,0,0,0,78,64,99
57,0,0,0,60,60,108
58,0,0,0,52,86,98
59,0,0,0,68,72,108
60,0,0,0,52,96,117
61,0,0,0,81,96,123
62,0,0,0,76,110,132
63,0,0,0,101,67,125
64,0,0,0,75,72,133
65,0,0,0,112,124,133
66,0,0,0,88,140,141
67,0,0,0,127,119,171
68,0,0,0,81,84,171
69,0,0,0,113,140,174
70,0,0,0,162,135,189
71,0,0,0,130,153,212
72,0,0,0,169,153,185
73,0,0,0,139,156,235
74,0,0,0,181,205,221
75,0,0,0,166,212,207
76,0,0,0,212,151,267
77,0,0,0,190,228,237
78,0,0,0,196,244,266
79,0,0,0,279,232,278
80,0,0,0,260,186,289
81,0,0,0,224,196,324
82,0,0,0,235,230,352
83,0,0,0,291,232,386
84,0,0,0,305,305,342
85,0,0,0,303,259,379
86,0,0,0,297,312,376
87,0,0,0,271,375,368
88,0,0,0,348,323,415
89,0,0,0,420,346,466
90,0,0,0,361,344,456
91,0,0,0,436,359,479
92,0,0,0,433,353,527
93,0,0,0,451,470,533
94,0,0,0,507,356,532
95,0,0,0,491,450,588
96,0,0,0,449,504,620
97,0,0,0,526,519,641
98,0,0,0,553,557,708
99,0,0,0,564,530,735
100,0,0,0,721,648,719
101,0,0,0,609,630,730
102,0,0,0,647,622,786
103,0,0,0,664,701,888
104,0,0,0,821,651,935
105,0,0,0,707,718,975
106,0,0,0,780,763,955
107,0,0,0,837,759,963
108,0,0,0,907,798,989
109,0,0,0,913,855,1027
110,0,0,0,860,888,1081
111,0,0,0,1002,854,1154
112,0,0,0,908,919,1218
113,0,0,0,1070,957,1167
114,0,0,0,937,917,1248
115,0,0,0,1078,1083,1341
116,0,0,0,1216,1118,1302
117,0,0,0,1168,1243,1390
118,0,0,0,1171,1263,1454
119,0,0,0,1371,1283,1439
120,0,0,0,1307,1293,1481
121,0,0,0,1504,1392,1619
122,0,0,0,1431,1518,1715
123,0,0,0,1535,1502,1758
124,0,0,0,1630,1602,1757
125,0,0,0,1674,1506,1767
126,0,0,0,1822,1591,1879
127,0,0,0,1779,1824,1986
128,0,0,0,1876,1686,2021
129,0,0,0,1973,1832,2177
130,0,0,0,2018,1871,2203
131,0,0,0,2104,2145,2203
132,0,0,0,2123,2234,2250
133,0,0,0,2179,2224,2290
134,0,0,0,2245,2253,2527
135,0,0,0,2198,2099,2609
136,0,0,0,2450,2438,2780
137,0,0,0,2474,2403,2864
138,0,0,0,2754,2586,2944
139,0,0,0,2589,2708,3116
140,0,0,0,2862,2886,3153
141,0,0,0,2655,2759,3208
142,0,0,0,3228,2934,3294
143,0,0,0,3127,3148,3395
144,0,0,0,3131,3151,3524
145,0,0,0,3202,3286,3680
146,0,0,0,3387,3454,3793
147,0,0,0,3489,3293,3899
148,0,0,0,3265,3529,3986
149,0,0,0,3418,3737,4191
150,0,0,0,3774,3651,4154
151,0,0,0,3657,3891,4262
152,0,0,0,4162,4007,4525
153,0,0,0,4196,4271,4588
154,0,0,0,4391,4259,4849
155,0,0,0,4547,4348,4925
156,0,0,0,4245,4651,5154
157,0,0,0,4925,4585,5284
158,0,0,0,4732,4588,5272
159,0,0,0,4935,5278,5526
160,0,0,0,5193,5051,5539
161,0,0,0,5257,5145,5795
162,0,0,0,5229,5568,5915
163,0,0,0,5507,5634,6180
164,0,0,0,5866,5791,6350
165,0,0,0,5767,6023,6598
166,0,0,0,5991,6259,6596
167,0,0,0,6186,6223,6857
168,0,0,0,6602,6065,7218
169,0,0,0,6263,6712,7346
170,0,0,0,6515,6478,7566
171,0,0,0,6883,6430,7529
172,0,0,0,7005,6848,7734
173,0,0,0,7156,7378,8079
174,0,0,0,7462,7312,8253
175,0,0,0,7577,7659,8461
176,0,0,0,7392,7455,8665
177,0,0,0,7789,7525,8662
178,0,0,0,8237,7922,8958
179,0,0,0,8541,8270,9166
180,0,0,0,8454,8124,9194
181,0,0,0,8502,8110,9454
182,0,0,0,8972,8861,9680
183,0,0,0,8994,8997,10151
184,0,0,0,9151,8605,10211
185,0,0,0,9321,9197,10324
186,0,0,0,9683,9337,10587
187,0,0,0,9857,9522,10511
188,0,0,0,9882,9160,11019
189,0,0,0,10089,9722,10975
190,0,0,0,10623,10225,11183
191,0,0,0,10817,10743,11195
192,0,0,0,10668,10589,11635
193,0,0,0,10378,10411,11923
194,0,0,0,11028,11235,12195
195,0,0,0,11127,11350,12391
196,0,0,0,11557,11438,12435
197,0,0,0,11413,11777,12698
198,0,0,0,11662,11801,13103
199,0,0,0,11994,12278,13022
200,0,0,0,12218,12165,13324
201,0,0,0,12646,12364,13551
202,0,0,0,12855,12474,13781
203,0,0,0,12589,12771,13989
204,0,0,0,12769,12997,14222
205,0,0,0,12993,13117,14317
206,0,0,0,13391,13266,14544
207,0,0,0,13425,13027,14472
208,0,0,0,13949,13918,14834
209,0,0,0,14272,14240,15183
210,0,0,0,14327,14364,15329
211,0,0,0,14261,14107,15655
212,0,21,0,14830,14650,16043
213,0,128,0,14895,14879,16471
214,21,130,0,14473,14776,16027
215,172,177,0,15367,15712,16367
216,325,316,0,15282,15547,16666
217,510,615,0,15331,15515,16941
218,868,955,0,15610,16250,17162
219,1063,1168,0,15631,15670,17423
220,1425,1492,0,15735,16444,17580
221,2045,2120,0,16615,16455,17794
222,2848,3546,0,16311,16145,18207
223,3852,4195,0,16829,16249,17969
224,4698,5055,0,16769,16828,18106
225,5788,6060,0,16716,16560,18343
226,7669,7252,0,16982,17216,18532
227,8860,8555,0,17221,17106,18645
228,10931,11266,0,17364,17206,18652
229,12566,12450,0,17842,17856,18916
230,14700,14132,501,17267,16975,19198
231,18156,16893,2272,17251,17766,19240
232,20314,18634,11601,17693,17655,19617
233,23806,22671,36805,17775,17433,19427
234,24809,24983,77957,18244,17796,19675
235,27982,27498,121549,17690,18372,19556
236,31307,29716,158178,17730,18864,19925
237,33402,32756,183946,17971,18479,19928
238,36419,35734,194880,18277,18410,20138
239,39371,39171,195098,18605,18321,20240
240,43537,43789,186294,18845,18873,20320
241,47813,46727,174306,18543,18662,20183
242,51523,51581,163174,18313,18538,20362
243,56176,56520,150724,18251,18611,20416
244,57150,58129,137390,19061,18542,20899
245,62896,61894,126133,19110,18336,20833
246,66316,66192,114120,19058,18961,20788
247,70301,68061,103963,19020,18548,20788
