,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,1,0,0
138,0,0,0,15,0,0
139,0,0,0,0,0,0
140,0,0,0,3,0,0
141,0,0,0,0,0,0
142,0,0,0,1,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,9,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,7,1
150,0,0,0,6,0,1
151,0,0,0,5,0,2
152,0,0,0,9,0,2
153,0,0,0,6,11,2
154,0,0,0,2,0,5
155,0,0,0,4,2,14
156,0,0,0,18,2,8
157,0,0,0,27,1,10
158,0,0,0,12,16,7
159,0,0,0,6,6,5
160,0,0,0,11,12,20
161,0,0,0,32,27,24
162,0,0,0,17,15,33
163,0,0,0,28,15,27
164,0,0,0,29,39,17
165,0,0,0,31,29,34
166,0,0,0,80,71,31
167,0,0,0,64,75,28
168,0,0,0,97,51,18
169,0,0,0,77,97,34
170,0,0,0,104,91,47
171,0,0,0,82,113,72
172,0,0,0,112,181,114
173,0,0,0,165,165,107
174,0,0,0,131,203,105
175,0,0,0,230,245,155
176,0,0,0,246,227,174
177,0,0,0,247,169,204
178,0,0,0,249,339,195
179,0,0,0,276,259,234
180,0,0,0,369,389,261
181,0,0,0,305,319,319
182,0,0,0,350,412,349
183,0,0,0,499,485,398
184,0,0,0,481,549,451
185,0,0,0,583,602,537
186,0,0,0,837,771,623
187,0,0,0,794,997,704
188,0,0,0,981,743,706
189,0,0,0,923,1044,778
190,0,0,0,1110,995,940
191,0,0,0,1207,1194,1017
192,0,0,0,1241,1194,1171
193,0,0,0,1669,1464,1411
194,0,0,0,1692,1553,1559
195,0,0,0,1826,2069,1696
196,0,0,0,1895,1974,1833
197,0,0,0,2420,1941,2086
198,0,0,0,2376,2510,2308
199,0,0,0,2853,2579,2524
200,0,0,0,3046,3233,2887
201,0,0,0,3082,3131,3292
202,0,0,0,3587,3796,3630
203,0,0,0,4014,3810,3840
