,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,5,0
44,0,0,0,0,0,0
45,0,0,0,0,2,0
46,0,0,0,0,4,0
47,0,0,0,0,0,0
48,0,0,0,13,0,0
49,0,0,0,0,0,0
50,0,0,0,0,12,0
51,0,0,0,1,0,0
52,0,0,0,0,4,0
53,0,0,0,0,39,0
54,0,0,0,11,0,0
55,0,0,0,0,0,0
56,0,0,0,3,0,0
57,0,0,0,3,5,0
58,0,0,0,1,9,0
59,0,0,0,5,4,0
60,0,0,0,0,0,1
61,0,0,0,10,0,0
62,0,0,0,15,0,0
63,0,0,0,47,4,0
64,0,0,0,6,0,3
65,0,0,0,10,9,3
66,0,0,0,18,13,5
67,0,0,0,31,0,0
68,0,0,0,4,0,0
69,0,0,0,21,0,0
70,0,0,0,12,2,3
71,0,0,0,10,11,8
72,0,0,0,10,5,2
73,0,0,0,35,15,2
74,0,0,0,15,1,1
75,0,0,0,24,6,4
76,0,0,0,0,3,4
77,0,0,0,32,22,9
78,0,0,0,1,20,1
79,0,0,0,22,17,15
80,0,0,0,27,17,8
81,0,0,0,57,27,18
82,0,0,0,44,11,28
83,0,0,0,10,7,42
84,0,0,0,11,15,44
85,0,0,0,64,24,38
86,0,0,0,33,24,31
87,0,0,0,35,45,53
88,0,0,0,62,41,46
89,0,0,0,90,45,69
90,0,0,0,39,41,63
91,3,0,0,76,102,61
92,5,0,0,99,94,55
93,5,0,0,107,111,108
94,4,0,0,117,135,142
95,5,0,0,117,230,131
96,4,0,0,167,145,147
97,5,0,0,157,181,139
98,4,0,0,239,129,141
99,5,0,0,261,284,184
100,4,0,0,291,232,257
101,5,0,0,312,326,290
102,4,0,0,235,278,359
103,5,0,0,273,326,382
104,4,0,0,536,311,437
105,5,0,0,328,365,449
106,5,0,0,396,398,462
107,4,0,0,551,502,547
108,5,0,0,464,487,523
109,4,0,0,444,713,612
110,5,0,0,498,673,675
111,4,0,0,623,708,706
112,4,0,0,700,894,883
113,5,0,0,907,894,943
114,4,0,0,858,902,997
115,4,0,0,1004,961,1081
116,4,0,0,960,1141,1244
117,4,0,0,1197,1240,1346
118,4,0,0,1200,1363,1432
119,5,0,0,1534,1526,1554
120,4,0,0,1617,1614,1600
121,4,0,0,1431,1801,1799
122,5,0,0,1729,1967,2069
123,4,0,0,2070,1854,2282
124,5,0,0,2181,2216,2425
125,4,0,0,1949,2636,2768
126,5,0,0,2847,2489,2910
127,4,0,0,2801,3089,2971
128,5,0,0,2841,3180,3184
129,4,0,0,3361,3319,3717
130,5,0,0,3679,3437,4110
131,4,0,0,3976,4120,4530
132,5,0,0,4241,4311,4859
133,4,0,0,4595,4918,5073
134,5,0,0,4976,5400,5476
135,4,0,0,5092,5689,6000
136,4,0,0,5627,5718,6526
137,5,0,0,5872,6302,7077
138,4,0,0,6175,6435,7727
139,5,0,0,7322,7386,8153
140,4,0,0,8258,7957,8944
141,5,0,0,8565,8548,9635
142,4,0,0,8324,8701,10319
143,4,0,0,9718,9838,10538
144,5,0,0,10456,10633,11367
145,4,0,0,11153,10444,12132
146,5,0,0,12327,12030,12707
147,4,0,0,12874,12482,14030
148,4,0,0,13880,13738,14883
149,4,0,0,14862,14743,15841
150,4,0,0,16132,15243,16398
151,3,0,0,16906,16672,18037
152,4,0,0,17759,18166,19050
153,4,0,0,19603,18779,20639
154,3,0,0,19820,20227,21630
155,4,0,0,22313,21628,22588
156,3,0,0,23280,22388,24451
157,4,0,0,23916,24661,26170
158,3,0,0,24780,25846,27469
159,3,0,0,28002,27749,29425
160,4,0,0,28096,29013,30972
161,3,0,0,31341,30426,32595
162,4,0,0,32414,33030,34805
163,3,0,0,35008,34584,37703
164,4,0,0,37405,37242,39640
165,3,0,0,38368,38302,41616
166,3,0,0,41490,41701,43502
167,4,0,0,44077,44192,45234
168,3,0,0,45586,45808,48724
169,3,0,0,47730,48902,51046
170,4,0,0,49845,50886,53602
171,3,0,0,54482,53030,56501
172,3,0,0,58040,55390,59182
173,3,0,0,59757,59921,61893
174,4,0,0,61874,62749,65892
175,3,0,0,64730,65890,69880
176,3,0,0,69383,70070,72439
177,3,0,0,72859,73144,76106
178,3,0,0,76119,76669,80019
179,3,0,0,79871,81385,82937
180,4,0,0,81971,83240,86498
181,3,0,0,86563,87789,91555
182,4,0,0,93913,93451,94407
183,4,0,0,96598,98175,100422
184,4,0,0,99730,100541,104231
185,4,0,0,104289,105318,108883
186,5,0,0,109150,109280,112694
187,4,0,0,115691,113752,118486
188,5,0,0,120821,120724,123045
189,4,0,0,126205,126851,126669
190,5,0,0,131648,128352,133146
