Laser detuning [Gamma],x0 [cm],y0 [cm],z0 [cm]
-221.518987,0.00012679109351950417,9.507588082830016e-05,-0.06429316806753925
-208.227848,-0.0001314041348474481,-0.00028555027256662105,-0.05956110745736277
-194.936709,-0.0003432712848384376,0.0002103289731059191,-0.054826988260728474
-181.64557,-0.00014408616378393582,0.00033625965345605754,-0.05010741145197602
-168.35443,-7.163709539019788e-05,-8.473308147774331e-05,-0.04540189484222665
-155.063291,-0.00012345506272941895,7.907096747154019e-05,-0.040637776495690045
-141.772152,0.0001218589893229998,8.416217135476673e-05,-0.0359795560846692
-128.481013,0.0001095913613714442,-0.0001653173823366578,-0.031238156885850136
-115.189873,0.00012876118868344189,3.961869723265129e-05,-0.026661978411893078
-101.898734,6.808805823362249e-05,-0.0001355592849075591,-0.022062704936153962
-88.607595,-8.724517773855786e-06,-4.195893691437144e-05,-0.01758054129205109
-75.316456,4.687181851872313e-05,-5.475097407330468e-05,-0.013422599192011768
-62.025316,-4.397819073720807e-05,-4.587930881647276e-05,-0.00951711537009379
-48.101266,-1.3740934043922779e-05,7.980796201308871e-06,-0.005934608160362243
-34.810127,1.6941179744123718e-06,-2.4432779317781558e-05,-0.0030282062696877555
-21.518987,2.1035748090854974e-05,-5.274598705744206e-06,-0.0009977625490177116
